query,date,source,stable_identifier,model,theorem_or_claim,exact_relevance,follow_up_action,verification_status
"order-13 parameter-five domination bounds and degree-two reduction",2026-07-26,"B. Reed, Paths, Stars and the Number Three; W. McCuaig and B. Shepherd, Domination in Graphs with Minimum Degree Two; M. A. Henning, I. Schiermeyer, and A. Yeo, A New Bound on the Domination Number of Graphs with Minimum Degree Two; A. V. Kostochka and C. Stocker, A New Bound on the Domination Number of Connected Cubic Graphs","doi:10.1017/S0963548300002042; doi:10.1002/jgt.3190130610; doi:10.37236/499; Math-Net semr77","ordinary static domination only; no eternal-model theorem imported","Reed's exact minimum-degree-three bound gamma(G)<=3|V(G)|/8 forces delta(G)=2 for a hypothetical order-13 counterexample with gamma=5. McCuaig-Shepherd permits gamma=5 after rounding when delta=2 and supplies no contradiction; the connected-cubic refinement is inapplicable without cubicity. The official Cambridge record and EJC restatement were retained to verify Reed's metadata and the McCuaig-Shepherd exception inventory.","Provides the classical input for C-056's degree-two structural normal form. The subsequent kernel, attachment, and one-guard arguments are campaign proofs; no novelty or priority claim is made.","Before publication, add conventional bibliography entries and inspect any near-extremal equality/stability literature for minimum-degree-two domination; do not describe the classical bound as new.","PRIMARY HYPOTHESES VERIFIED; HOSTILE STRUCTURAL REVIEW ACCEPTED; CLASSICAL INPUT ONLY"
"novelty search: one-guard viable-response Hall restoration theorem",2026-07-26,"Targeted current arXiv, journal-index, survey, dissertation, and full-text searches; Burger et al. 2004; Goddard-Hedetniemi-Hedetniemi 2005; Klostermeyer-Mynhardt 2016","arXiv:1407.5228; JCMCC 49 (2004), 159-175; JCMCC 52 (2005), 169-180","one-guard model separated from all-guards movement and offline finite-order security","No exact prior statement was located for the campaign theorem that every state of a one-guard eternal family restores the missing vertices of a fixed maximum independent state through viable response lists satisfying Hall's condition. Related Hall arguments move several guards between maximum independent sets in the all-guards model, while secure-domination private-neighborhood clique facts are pointwise and do not supply the family-level list condition.","Supports only a provisional novelty assessment for C-058 and C-059; a negative search is not proof of priority, and the directly relevant 2018 manuscript remains unavailable.","Inspect the unavailable Klostermeyer-Krop-MacGillivray 2018 manuscript and broader citation databases before any novelty claim; retain the all-guards and offline quantifier distinctions.","SEARCH-LIMITED; THEOREM INDEPENDENTLY ACCEPTED; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED"
"novelty search: complements of line graphs of cubic class-II graphs",2026-07-26,"Targeted current arXiv, journal-index, survey, dissertation, and exact-phrase searches for eternal domination with line graphs, cubic graphs, and snarks","queries: eternal domination complement line graph cubic; eternal domination snark; gamma-infinity line graph","one-guard only; domination variants involving snarks excluded","No prior one-guard theorem matching the campaign calculation for complements of line graphs of simple triangle-free cubic class-II graphs was located. Search hits involving snarks concerned unrelated domination variants, while generic line-graph material did not state the parameter chain proved in C-060.","The family is a stress-test exclusion showing that local balance plus an eternal family can coexist with a coloring gap when gamma is smaller than alpha; it is not a counterexample and no priority claim is made.","Repeat against citation databases and the unavailable 2018 manuscript before manuscript use; describe this result as a campaign lemma pending a fuller novelty audit.","SEARCH-LIMITED; THEOREM INDEPENDENTLY ACCEPTED; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED"
"novelty search: Schlaefli graph one-guard eternal domination",2026-07-26,"Targeted current arXiv, journal-index, survey, dissertation, and exact-phrase searches for Schlaefli graph or GQ(2,4) with eternal domination","queries: Schlaefli graph eternal domination; Schlafli graph eternal domination; GQ(2,4) eternal domination","one-guard only; static Schlaefli references separated from eternal-game results","No prior one-guard calculation matching the campaign's two-attack obstruction was located. Search results confirmed standard static descriptions of the Schlaefli graph but did not state its one-guard eternal domination behavior.","Supports only a provisional novelty assessment for C-061; the accepted theorem is useful as a structured near-miss regardless of priority.","Repeat against citation databases and the unavailable 2018 manuscript before manuscript use; make no novelty or priority claim.","SEARCH-LIMITED; PROOF AND FINITE REPLAYS ACCEPTED; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED"
"novelty search: frozen-color projection and cross-state response covariance",2026-07-26,"Targeted current arXiv, journal-index, survey, dissertation, and exact-phrase searches; Klostermeyer-Mynhardt 2015, MMV 2022, the 2020 eternal-domination survey material, and current maneuver/Cayley papers separated by model","queries: eternal domination frozen guard induced subgraph; eternal dominating family projection; response-list transport eternal domination; domination equal eternal domination projection","standard one-guard model only; all-guards and intermediate maneuver-number results excluded","No exact prior statement was located for either campaign theorem: freezing a response color and projecting to an exact one-fewer-guard equality instance, or transporting complete family-response incidence across ridge-adjacent maximum independent states. The accessible secure-domination/private-neighborhood material is pointwise, and C-051/Taletskii uses the different antineighborhood projection G-N[A].","Supports a search-limited novelty assessment only. The directly relevant 2018 Klostermeyer-Krop-MacGillivray manuscript remains unavailable, and negative search cannot establish priority.","Retain explicit comparison with C-051 and the non-greatest projected-family counterexample FCZbg; inspect the unavailable 2018 manuscript and broader citation databases before any manuscript novelty claim.","SEARCH-LIMITED; THEOREMS INDEPENDENTLY REVIEWED/UNDER REVIEW; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED"
"resumed direct-resolution refresh",2026-07-27,"Current arXiv, journal-index, and dissertation queries for Gamma-Theta Conjecture, eternal domination and clique covering","arXiv:2412.20120v2; doi:10.7151/dmgt.1799; UVic dissertation bitstream 00daa6ea-ea50-404b-8a18-d2259d315c01","standard one-guard sources separated from the July 2026 gamma_all-infinity Cayley paper","No universal proof, certified counterexample, or later direct resolution was located. Taletskii remains the current planar-class theorem, and the newest Cayley hit is explicitly all-guards-move.","Confirms that the imported prose report did not point to a prior resolution and that the campaign must retain unresolved status.","Repeat at the day-7 portfolio gate and whenever a new direct citation appears.","SEARCH-VERIFIED THROUGH 2026-07-27; NO DIRECT RESOLUTION LOCATED"
"half-order and very-well-covered intake audit",2026-07-27,"O. Favaron, Very well covered graphs; Payan-Xuong and Fink-Jacobson-Kinch-Roberts half-order domination characterizations already audited in C-036","doi:10.1016/0012-365X(82)90215-1; doi:10.1002/jgt.3190060104; doi:10.1007/BF01848079","static well-coveredness, perfect matchings, domination, and clique partitions; no eternal variant imported","A well-covered isolate-free graph of order twice its independence number has a perfect matching, so its matching edges give an alpha-part clique partition. Separately, the classical gamma=n/2 characterization already yields the accepted counterexample bound n>=2k+1.","The resumed report's conclusion that n=2k cannot host a counterexample is correct but duplicates C-036. Its wording that the complement of a maximum independent set is forced independent is not valid in general.","Retain C-036 as the stronger, already hostile-audited campaign route; make no new theorem or novelty claim from the imported proof sketch.","VERIFIED CLASSICAL OVERLAP; NO NEW CAMPAIGN CLAIM"
"novelty search: adjacent true-twin deletion",2026-07-27,"Targeted current arXiv, DMGT, one-guard eternal-domination, twin, and gamma-theta searches; accessible primary gamma-theta sources checked","queries: eternal domination true twins; one-guard eternal domination twins; gamma-theta twins graph","standard one-guard model only; multiset-guard twin expansions and all-guards results excluded","No exact accessible statement was located saying that deleting one adjacent true twin under gamma=gamma-infinity preserves gamma, alpha, gamma-infinity, and theta, thereby excluding adjacent true twins from a minimum counterexample.","Supports only a search-limited novelty assessment for C-078. The proof and hostile audit stand independently of priority, and the unavailable directly relevant 2018 manuscript remains a source gap.","Make no novelty or priority claim; inspect the unavailable manuscript and broader citation databases before manuscript use.","SEARCH-LIMITED; C-078 PROVED AND HOSTILE-ACCEPTED; NO EXACT MATCH LOCATED"
"Petersen 395-state near-miss identification",2026-07-27,"Campaign C-060 theorem and its two-evaluator Petersen record","reviews/universal_holonomy_critical_graph_referee/evidence.json; canonical graph6 NzjEry{lz|Z{Z~nvZ~?","standard one-guard model","For G=complement(L(Petersen)), the exact tuple is (gamma,alpha,gamma-infinity,theta)=(2,3,3,4), and all 395 dominating triples form the greatest eternal family.","The resumed report's unattributed 15-vertex near-miss with a 395-triple family is exactly this already accepted graph, not an additional construction.","Treat it as a duplicate of C-060 and preserve the existing certificate; do not create a second claim.","CAMPAIGN-CROSSCHECKED EXACT IDENTIFICATION; DUPLICATE"
"prepublication resolution and order-13 priority refresh",2026-07-28,"Current exact-phrase and title searches across arXiv, EJGTA, DMGT, DML, author-index, and citing-paper results; primary records rechecked for Klostermeyer-Mynhardt 2015, MacGillivray-Mynhardt-Virgile 2022, Taletskii 2024, and Kimura-Matsumoto-Sato 2026","arXiv:1407.5235; arXiv:2110.09732; doi:10.5614/ejgta.2022.10.2.19; arXiv:2412.20120; doi:10.47443/dml.2025.208","standard one-guard model; all-guards and unrelated gamma/theta usages excluded","No universal proof, certified counterexample, order-13 parameter-three exclusion, or later direct finite-frontier theorem was located. The accessible primary record still consists of the open 2015 formulation, the published through-order-11 computation, the planar-class theorem, and the 2026 planar/vertex-critical note.","Supports publication of C-097 only as a provisional independently checkable finite result; a negative search is not proof of novelty or worldwide priority.","Retain the manuscript's explicit no-worldwide-priority wording; repeat at the day-7 portfolio gate and before any journal or arXiv submission.","SEARCH-VERIFIED THROUGH 2026-07-28; NO DIRECT RESOLUTION OR ORDER-13 MATCH LOCATED; NOVELTY NOT CLAIMED"
"targeted signed-holonomy and locally-bipartite coloring search",2026-07-28,"Current arXiv and DOI searches for dominating triangles, locally bipartite graphs, tripartite flag complexes, signed balance, and triangle-filled diameter-two graphs; Illingworth's locally bipartite/colorable graph papers inspected at abstract level","arXiv:2012.10409; arXiv:2102.05522","ordinary coloring and simplicial-complex terminology; no eternal-domination theorem imported","No directly matching theorem was located that turns the campaign's physical response types, same-type bipartite projections, rainbow completion of every cross edge, and one-guard closure into a balanced signed graph. The locally bipartite chromatic-profile results require global degree hypotheses and address a broader but different coloring setting.","The search supplies terminology and warns that local bipartiteness alone is not a three-coloring theorem. It neither proves novelty nor fills the remaining global holonomy step.","Keep the signed-balance theorem as a campaign proof target; cite no external result from this search unless its exact hypotheses are later used, and retain an explicit no-priority claim.","SEARCH-LIMITED; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED"
"localizable-graph reformulation and alpha-three structure gate",2026-07-28,"A. Hujdurovic, M. Milanic, and B. Ries, Graphs vertex-partitionable into strong cliques","arXiv:1609.06961","static well-coveredness, independent domination, clique covering, and strong cliques; no eternal-game result","The paper proves that a graph is localizable exactly when it is well-covered and semi-perfect, equivalently when its independent domination and clique-cover numbers agree. It also proves NP-completeness of recognizing localizability for each fixed independence number k>=3, including alpha=3.","Under gamma=gamma-infinity the campaign equality collapse gives i=alpha=k, so the gamma-theta conclusion is exactly localizability. The hardness result rules out expecting a generic classification of well-covered alpha-three graphs to replace the one-guard argument; it does not address the eternal equality subclass.","Use localizable/strong-clique language only as an optional reformulation and continue to exploit multi-state one-guard closure. Do not import static complexity results as evidence for or against the conjecture.","VERIFIED-PRIMARY ABSTRACT/THEOREM STATEMENTS; CONTEXT ONLY"
