extension_h_mask,extension_h_neighbors,labeled_graph6,canonical_graph6,gamma,alpha,gamma_infinity,theta,unrestricted_optimal_kernel_states,family_witness_count,augmentation_sensitive_witness_count,family_witnesses
95,"[0,1,2,3,4,6]",IFzvvn{@W,IIP~ts~nW,2,4,4,4,194,0,0,[]
96,"[5,6]",IFzvvn{}W,IVz`z~]vw,2,3,3,3,117,3,3,"[{""new_list"":[2],""family_states"":92,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
97,"[0,5,6]",IFzvvn{]W,ISxzu~u|w,2,3,3,3,115,2,2,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[15,4,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[11,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
98,"[1,5,6]",IFzvvn{mW,ISxzu~u|w,2,3,3,3,115,2,2,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[15,4,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[7,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
99,"[0,1,5,6]",IFzvvn{MW,IBZs~^y}w,2,3,3,3,103,1,1,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[14,4,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
100,"[2,5,6]",IFzvvn{uW,ISxzu~u|w,2,3,3,3,115,0,0,[]
101,"[0,2,5,6]",IFzvvn{UW,IBZs~^y}w,2,3,3,3,103,0,0,[]
102,"[1,2,5,6]",IFzvvn{eW,IBZs~^y}w,2,3,3,3,103,0,0,[]
103,"[0,1,2,5,6]",IFzvvn{EW,I?\vvn{~W,2,4,4,4,205,0,0,[]
104,"[3,5,6]",IFzvvn{yW,IBq~V~}~_,2,3,3,3,116,0,0,[]
105,"[0,3,5,6]",IFzvvn{YW,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
106,"[1,3,5,6]",IFzvvn{iW,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
107,"[0,1,3,5,6]",IFzvvn{IW,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
108,"[2,3,5,6]",IFzvvn{qW,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
109,"[0,2,3,5,6]",IFzvvn{QW,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
110,"[1,2,3,5,6]",IFzvvn{aW,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
111,"[0,1,2,3,5,6]",IFzvvn{AW,IiPxvu}Nw,2,4,4,4,195,0,0,[]
112,"[4,5,6]",IFzvvn{{W,I_~vd|}^w,2,3,3,3,102,0,0,[]
113,"[0,4,5,6]",IFzvvn{[W,IJJ]v]}nw,2,3,3,3,99,0,0,[]
114,"[1,4,5,6]",IFzvvn{kW,IJJ]v]}nw,2,3,3,3,99,0,0,[]
115,"[0,1,4,5,6]",IFzvvn{KW,II[u^m}nw,2,3,3,3,81,0,0,[]
116,"[2,4,5,6]",IFzvvn{sW,IJJ]v]}nw,2,3,3,3,99,0,0,[]
117,"[0,2,4,5,6]",IFzvvn{SW,II[u^m}nw,2,3,3,3,81,0,0,[]
118,"[1,2,4,5,6]",IFzvvn{cW,II[u^m}nw,2,3,3,3,81,0,0,[]
119,"[0,1,2,4,5,6]",IFzvvn{CW,IIPxvu}nw,2,4,4,4,194,0,0,[]
120,"[3,4,5,6]",IFzvvn{wW,IAM~~z{yw,2,3,3,3,97,0,0,[]
121,"[0,3,4,5,6]",IFzvvn{WW,IJJ]v[~ng,2,3,3,3,92,0,0,[]
122,"[1,3,4,5,6]",IFzvvn{gW,IJJ]v[~ng,2,3,3,3,92,0,0,[]
123,"[0,1,3,4,5,6]",IFzvvn{GW,II[u^k~ng,2,3,3,3,72,0,0,[]
124,"[2,3,4,5,6]",IFzvvn{oW,IJJ]v[~ng,2,3,3,3,92,0,0,[]
125,"[0,2,3,4,5,6]",IFzvvn{OW,II[u^k~ng,2,3,3,3,72,0,0,[]
126,"[1,2,3,4,5,6]",IFzvvn{_W,II[u^k~ng,2,3,3,3,72,0,0,[]
127,"[0,1,2,3,4,5,6]",IFzvvn{?W,IIPxvs~ng,2,4,4,4,174,0,0,[]
128,[7],IFzvvn{~g,IRr~vq~^w,2,3,3,3,118,4,4,"[{""new_list"":[0],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,9],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
129,"[0,7]",IFzvvn{^g,IrW|~z]vw,2,3,3,3,117,1,1,"[{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,9],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
130,"[1,7]",IFzvvn{ng,IrW|~z]vw,2,3,3,3,117,2,2,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
131,"[0,1,7]",IFzvvn{Ng,IEw~^zu|w,2,3,3,3,108,0,0,[]
132,"[2,7]",IFzvvn{vg,IrW|~z]vw,2,3,3,3,117,2,2,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
133,"[0,2,7]",IFzvvn{Vg,IEw~^zu|w,2,3,3,3,108,0,0,[]
134,"[1,2,7]",IFzvvn{fg,IEw~^zu|w,2,3,3,3,108,1,1,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
135,"[0,1,2,7]",IFzvvn{Fg,I?^vnzy}w,2,4,4,4,209,0,0,[]
136,"[3,7]",IFzvvn{zg,IRlv~z{rw,2,3,3,3,118,4,4,"[{""new_list"":[0],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,9],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
137,"[0,3,7]",IFzvvn{Zg,ILZ]v]~~_,2,3,3,3,116,1,1,"[{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,9],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
138,"[1,3,7]",IFzvvn{jg,ILZ]v]~~_,2,3,3,3,116,2,2,"[{""new_list"":[0],""family_states"":82,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
139,"[0,1,3,7]",IFzvvn{Jg,IiNNny}Nw,2,3,3,3,105,0,0,[]
140,"[2,3,7]",IFzvvn{rg,ILZ]v]~~_,2,3,3,3,116,2,2,"[{""new_list"":[0],""family_states"":82,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
141,"[0,2,3,7]",IFzvvn{Rg,IiNNny}Nw,2,3,3,3,105,0,0,[]
142,"[1,2,3,7]",IFzvvn{bg,IiNNny}Nw,2,3,3,3,105,0,0,[]
143,"[0,1,2,3,7]",IFzvvn{Bg,IiO~vy}Nw,2,4,4,4,205,0,0,[]
144,"[4,7]",IFzvvn{|g,I]r|rs~^w,2,3,3,3,115,1,1,"[{""new_list"":[0,2],""family_states"":94,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
145,"[0,4,7]",IFzvvn{\g,Iamv^x}^w,2,3,3,3,113,0,0,[]
146,"[1,4,7]",IFzvvn{lg,Iamv^x}^w,2,3,3,3,113,1,1,"[{""new_list"":[0,2],""family_states"":92,""deletion_rounds"":[8,1,5,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
147,"[0,1,4,7]",IFzvvn{Lg,IINNny}nw,2,3,3,3,99,0,0,[]
148,"[2,4,7]",IFzvvn{tg,Iamv^x}^w,2,3,3,3,113,0,0,[]
149,"[0,2,4,7]",IFzvvn{Tg,IINNny}nw,2,3,3,3,99,0,0,[]
150,"[1,2,4,7]",IFzvvn{dg,IINNny}nw,2,3,3,3,99,0,0,[]
151,"[0,1,2,4,7]",IFzvvn{Dg,IIO~vy}nw,2,4,4,4,204,0,0,[]
152,"[3,4,7]",IFzvvn{xg,ID~vf\^^g,2,3,3,3,109,0,0,[]
153,"[0,3,4,7]",IFzvvn{Xg,IBM~^Z^}o,2,3,3,3,106,0,0,[]
154,"[1,3,4,7]",IFzvvn{hg,IBM~^Z^}o,2,3,3,3,106,0,0,[]
155,"[0,1,3,4,7]",IFzvvn{Hg,IINN~g~nW,2,3,3,3,91,0,0,[]
156,"[2,3,4,7]",IFzvvn{pg,IBM~^Z^}o,2,3,3,3,106,0,0,[]
157,"[0,2,3,4,7]",IFzvvn{Pg,IINN~g~nW,2,3,3,3,91,0,0,[]
158,"[1,2,3,4,7]",IFzvvn{`g,IINN~g~nW,2,3,3,3,91,0,0,[]
159,"[0,1,2,3,4,7]",IFzvvn{@g,IIO~~q|Nw,2,4,4,4,194,0,0,[]
160,"[5,7]",IFzvvn{}g,I`lv~z{vw,2,3,3,3,117,3,3,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,8],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
161,"[0,5,7]",IFzvvn{]g,ITrmr|}|w,2,3,3,3,115,1,1,"[{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,8],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
162,"[1,5,7]",IFzvvn{mg,ITrmr|}|w,2,3,3,3,115,1,1,"[{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
163,"[0,1,5,7]",IFzvvn{Mg,IB^fnY^}w,2,3,3,3,103,0,0,[]
164,"[2,5,7]",IFzvvn{ug,ITrmr|}|w,2,3,3,3,115,1,1,"[{""new_list"":[0,1],""family_states"":82,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
165,"[0,2,5,7]",IFzvvn{Ug,IB^fnY^}w,2,3,3,3,103,0,0,[]
166,"[1,2,5,7]",IFzvvn{eg,IB^fnY^}w,2,3,3,3,103,0,0,[]
167,"[0,1,2,5,7]",IFzvvn{Eg,I?\~fvu~W,2,4,4,4,205,0,0,[]
168,"[3,5,7]",IFzvvn{yg,I`qzv~}~_,2,3,3,3,117,3,3,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,8],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
169,"[0,3,5,7]",IFzvvn{Yg,IhNvU~]Nw,2,3,3,3,113,1,1,"[{""new_list"":[1,2],""family_states"":86,""deletion_rounds"":[12,2,8],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
170,"[1,3,5,7]",IFzvvn{ig,IhNvU~]Nw,2,3,3,3,113,1,1,"[{""new_list"":[0,2],""family_states"":94,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
171,"[0,1,3,5,7]",IFzvvn{Ig,IiK~vjNNw,2,3,3,3,98,0,0,[]
172,"[2,3,5,7]",IFzvvn{qg,IhNvU~]Nw,2,3,3,3,113,1,1,"[{""new_list"":[0,1],""family_states"":80,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
173,"[0,2,3,5,7]",IFzvvn{Qg,IiK~vjNNw,2,3,3,3,98,0,0,[]
174,"[1,2,3,5,7]",IFzvvn{ag,IiK~vjNNw,2,3,3,3,98,0,0,[]
175,"[0,1,2,3,5,7]",IFzvvn{Ag,IiOx~zyNw,2,4,4,4,195,0,0,[]
176,"[4,5,7]",IFzvvn{{g,I@zV~z{^w,2,3,3,3,106,0,0,[]
177,"[0,4,5,7]",IFzvvn{[g,IHNvU~]nw,2,3,3,3,103,0,0,[]
178,"[1,4,5,7]",IFzvvn{kg,IHNvU~]nw,2,3,3,3,103,0,0,[]
179,"[0,1,4,5,7]",IFzvvn{Kg,IIK~vjNnw,2,3,3,3,86,0,0,[]
180,"[2,4,5,7]",IFzvvn{sg,IHNvU~]nw,2,3,3,3,103,0,0,[]
181,"[0,2,4,5,7]",IFzvvn{Sg,IIK~vjNnw,2,3,3,3,86,0,0,[]
182,"[1,2,4,5,7]",IFzvvn{cg,IIK~vjNnw,2,3,3,3,86,0,0,[]
183,"[0,1,2,4,5,7]",IFzvvn{Cg,IIOx~zynw,2,4,4,4,194,0,0,[]
184,"[3,4,5,7]",IFzvvn{wg,I@Nmv~}~_,2,3,3,3,94,0,0,[]
185,"[0,3,4,5,7]",IFzvvn{Wg,IHNvU~]Nw,2,3,3,3,90,0,0,[]
186,"[1,3,4,5,7]",IFzvvn{gg,IHNvU~]Nw,2,3,3,3,90,0,0,[]
187,"[0,1,3,4,5,7]",IFzvvn{Gg,IIK~vjNNw,2,3,3,3,73,0,0,[]
188,"[2,3,4,5,7]",IFzvvn{og,IHNvU~]Nw,2,3,3,3,90,0,0,[]
189,"[0,2,3,4,5,7]",IFzvvn{Og,IIK~vjNNw,2,3,3,3,73,0,0,[]
190,"[1,2,3,4,5,7]",IFzvvn{_g,IIK~vjNNw,2,3,3,3,73,0,0,[]
191,"[0,1,2,3,4,5,7]",IFzvvn{?g,IIOx~zyNw,2,4,4,4,172,0,0,[]
192,"[6,7]",IFzvvn{~G,Ivz`x|^vw,2,3,3,3,117,1,1,"[{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,8],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
193,"[0,6,7]",IFzvvn{^G,ITxzu^V|w,2,3,3,3,115,1,1,"[{""new_list"":[1,2],""family_states"":87,""deletion_rounds"":[12,2,8,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
194,"[1,6,7]",IFzvvn{nG,ITxzu^V|w,2,3,3,3,115,0,0,[]
195,"[0,1,6,7]",IFzvvn{NG,IB^s~Nj}w,2,3,3,3,103,0,0,[]
196,"[2,6,7]",IFzvvn{vG,ITxzu^V|w,2,3,3,3,115,0,0,[]
197,"[0,2,6,7]",IFzvvn{VG,IB^s~Nj}w,2,3,3,3,103,0,0,[]
198,"[1,2,6,7]",IFzvvn{fG,IB^s~Nj}w,2,3,3,3,103,0,0,[]
199,"[0,1,2,6,7]",IFzvvn{FG,I?\~vft~W,2,4,4,4,205,0,0,[]
200,"[3,6,7]",IFzvvn{zG,IRqi~~}~_,2,3,3,3,116,0,0,[]
201,"[0,3,6,7]",IFzvvn{ZG,IjN]vMnNw,2,3,3,3,112,0,0,[]
202,"[1,3,6,7]",IFzvvn{jG,IjN]vMnNw,2,3,3,3,112,0,0,[]
203,"[0,1,3,6,7]",IFzvvn{JG,Ii[}^evNw,2,3,3,3,97,0,0,[]
204,"[2,3,6,7]",IFzvvn{rG,IjN]vMnNw,2,3,3,3,112,0,0,[]
205,"[0,2,3,6,7]",IFzvvn{RG,Ii[}^evNw,2,3,3,3,97,0,0,[]
206,"[1,2,3,6,7]",IFzvvn{bG,Ii[}^evNw,2,3,3,3,97,0,0,[]
207,"[0,1,2,3,6,7]",IFzvvn{BG,IiPx~qzNw,2,4,4,4,195,0,0,[]
208,"[4,6,7]",IFzvvn{|G,Ig~vc{~^w,2,3,3,3,113,0,0,[]
209,"[0,4,6,7]",IFzvvn{\G,IJN]vMnnw,2,3,3,3,109,0,0,[]
210,"[1,4,6,7]",IFzvvn{lG,IJN]vMnnw,2,3,3,3,109,0,0,[]
211,"[0,1,4,6,7]",IFzvvn{LG,II[}^evnw,2,3,3,3,91,0,0,[]
212,"[2,4,6,7]",IFzvvn{tG,IJN]vMnnw,2,3,3,3,109,0,0,[]
213,"[0,2,4,6,7]",IFzvvn{TG,II[}^evnw,2,3,3,3,91,0,0,[]
214,"[1,2,4,6,7]",IFzvvn{dG,II[}^evnw,2,3,3,3,91,0,0,[]
215,"[0,1,2,4,6,7]",IFzvvn{DG,IIPx~qznw,2,4,4,4,194,0,0,[]
216,"[3,4,6,7]",IFzvvn{xG,IBMn~z{rw,2,3,3,3,106,0,0,[]
217,"[0,3,4,6,7]",IFzvvn{XG,IJN]vK~jw,2,3,3,3,100,0,0,[]
218,"[1,3,4,6,7]",IFzvvn{hG,IJN]vK~jw,2,3,3,3,100,0,0,[]
219,"[0,1,3,4,6,7]",IFzvvn{HG,II[}^c~lw,2,3,3,3,80,0,0,[]
220,"[2,3,4,6,7]",IFzvvn{pG,IJN]vK~jw,2,3,3,3,100,0,0,[]
221,"[0,2,3,4,6,7]",IFzvvn{PG,II[}^c~lw,2,3,3,3,80,0,0,[]
222,"[1,2,3,4,6,7]",IFzvvn{`G,II[}^c~lw,2,3,3,3,80,0,0,[]
223,"[0,1,2,3,4,6,7]",IFzvvn{@G,IIPx~o~mw,2,4,4,4,174,0,0,[]
224,"[5,6,7]",IFzvvn{}G,IPr~vp^|w,2,3,3,3,115,0,0,[]
225,"[0,5,6,7]",IFzvvn{]G,IJVd|zN}w,2,3,3,3,111,0,0,[]
226,"[1,5,6,7]",IFzvvn{mG,IJVd|zN}w,2,3,3,3,111,0,0,[]
227,"[0,1,5,6,7]",IFzvvn{MG,IB\nc~f~W,2,3,3,3,95,0,0,[]
228,"[2,5,6,7]",IFzvvn{uG,IJVd|zN}w,2,3,3,3,111,0,0,[]
229,"[0,2,5,6,7]",IFzvvn{UG,IB\nc~f~W,2,3,3,3,95,0,0,[]
230,"[1,2,5,6,7]",IFzvvn{eG,IB\nc~f~W,2,3,3,3,95,0,0,[]
231,"[0,1,2,5,6,7]",IFzvvn{EG,I?\r~rt~g,2,4,4,4,195,0,0,[]
232,"[3,5,6,7]",IFzvvn{yG,IhF~vrNNw,2,3,3,3,113,0,0,[]
233,"[0,3,5,6,7]",IFzvvn{YG,IjC}v^mNw,2,3,3,3,106,0,0,[]
234,"[1,3,5,6,7]",IFzvvn{iG,IjC}v^mNw,2,3,3,3,106,0,0,[]
235,"[0,1,3,5,6,7]",IFzvvn{IG,IjWw}vfNw,2,3,3,3,86,0,0,[]
236,"[2,3,5,6,7]",IFzvvn{qG,IjC}v^mNw,2,3,3,3,106,0,0,[]
237,"[0,2,3,5,6,7]",IFzvvn{QG,IjWw}vfNw,2,3,3,3,86,0,0,[]
238,"[1,2,3,5,6,7]",IFzvvn{aG,IjWw}vfNw,2,3,3,3,86,0,0,[]
239,"[0,1,2,3,5,6,7]",IFzvvn{AG,IjX`w~\Nw,2,4,4,4,175,0,0,[]
240,"[4,5,6,7]",IFzvvn{{G,IHF~vrNnw,2,3,3,3,92,0,0,[]
241,"[0,4,5,6,7]",IFzvvn{[G,IJC}v^mnw,2,3,3,3,86,0,0,[]
242,"[1,4,5,6,7]",IFzvvn{kG,IJC}v^mnw,2,3,3,3,86,0,0,[]
243,"[0,1,4,5,6,7]",IFzvvn{KG,IJWw}vfnw,2,3,3,3,64,0,0,[]
244,"[2,4,5,6,7]",IFzvvn{sG,IJC}v^mnw,2,3,3,3,86,0,0,[]
245,"[0,2,4,5,6,7]",IFzvvn{SG,IJWw}vfnw,2,3,3,3,64,0,0,[]
246,"[1,2,4,5,6,7]",IFzvvn{cG,IJWw}vfnw,2,3,3,3,64,0,0,[]
247,"[0,1,2,4,5,6,7]",IFzvvn{CG,IJX`w~\nw,2,4,4,4,174,0,0,[]
248,"[3,4,5,6,7]",IFzvvn{wG,IHF~vrNNw,2,3,3,3,82,0,0,[]
249,"[0,3,4,5,6,7]",IFzvvn{WG,IJC}v^mNw,2,3,3,3,74,0,0,[]
250,"[1,3,4,5,6,7]",IFzvvn{gG,IJC}v^mNw,2,3,3,3,74,0,0,[]
251,"[0,1,3,4,5,6,7]",IFzvvn{GG,IJWw}vfNw,2,3,3,3,51,0,0,[]
252,"[2,3,4,5,6,7]",IFzvvn{oG,IJC}v^mNw,2,3,3,3,74,0,0,[]
253,"[0,2,3,4,5,6,7]",IFzvvn{OG,IJWw}vfNw,2,3,3,3,51,0,0,[]
254,"[1,2,3,4,5,6,7]",IFzvvn{_G,IJWw}vfNw,2,3,3,3,51,0,0,[]
255,"[0,1,2,3,4,5,6,7]",IFzvvn{?G,IJX`w~\Nw,2,4,4,4,138,0,0,[]
256,[8],IFzvvn{~o,IdZ~vq~^w,2,3,3,3,118,4,4,"[{""new_list"":[0],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,9,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
257,"[0,8]",IFzvvn{^o,Izmpy~Nvw,2,3,3,3,117,1,1,"[{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,9,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
258,"[1,8]",IFzvvn{no,Izmpy~Nvw,2,3,3,3,117,2,2,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
259,"[0,1,8]",IFzvvn{No,IW{}~jV|w,2,3,3,3,108,0,0,[]
260,"[2,8]",IFzvvn{vo,Izmpy~Nvw,2,3,3,3,117,2,2,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
261,"[0,2,8]",IFzvvn{Vo,IW{}~jV|w,2,3,3,3,108,0,0,[]
262,"[1,2,8]",IFzvvn{fo,IW{}~jV|w,2,3,3,3,108,1,1,"[{""new_list"":[0],""family_states"":83,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
263,"[0,1,2,8]",IFzvvn{Fo,I?^~nfx}w,2,4,4,4,209,0,0,[]
264,"[3,8]",IFzvvn{zo,Idlr^~}~_,2,3,3,3,118,4,4,"[{""new_list"":[0],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":89,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,9,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
265,"[0,3,8]",IFzvvn{Zo,INZL|z^zo,2,3,3,3,116,1,1,"[{""new_list"":[1,2],""family_states"":87,""deletion_rounds"":[12,2,9,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
